Designator,Mid X,Mid Y,Rotation,Layer
D2,86.6775,-112.014,156.0,top
D3,78.9305,-129.4765,156.0,top
D4,71.1835,-146.812,156.0,top
D5,115.697,-93.599,156.0,top
D6,107.95,-111.0361,156.0,top
D7,100.1776,-128.4605,156.0,top
D8,92.456,-145.8595,156.0,top
D9,135.001,-97.028,156.0,top
D10,127.3175,-114.4905,156.0,top
D12,111.8235,-149.225,156.0,top
D13,154.432,-100.457,156.0,top
D14,146.558,-117.7925,156.0,top
D15,138.8745,-135.3185,156.0,top
D16,131.1275,-152.654,156.0,top
D17,170.053,-112.649,156.0,top
D18,162.1155,-129.921,156.0,top
D19,154.3685,-147.32,156.0,top
D20,146.6215,-164.7825,156.0,top
D21,185.3565,-124.587,156.0,top
D22,177.546,-142.0495,156.0,top
D23,169.799,-159.512,156.0,top
D24,162.052,-176.8475,156.0,top
D25,214.737,-124.587846,24.0,top
D26,222.484,-142.0495,24.0,top
D27,230.1875,-159.4485,24.0,top
D28,237.9145,-176.8475,24.0,top
D29,230.2915,-112.522,24.0,top
D30,238.0615,-130.003846,24.0,top
D31,245.6815,-147.32,24.0,top
D32,253.365,-164.846,24.0,top
D33,245.6815,-100.453846,24.0,top
D34,253.4285,-117.903846,24.0,top
D35,261.112,-135.303846,24.0,top
D36,269.0415,-152.5905,24.0,top
D37,265.1125,-97.053846,24.0,top
D38,272.7325,-114.427,24.0,top
D39,280.5415,-131.8895,24.0,top
D40,288.2265,-149.2885,24.0,top
D41,284.2895,-93.599,24.0,top
D42,292.1635,-110.998,24.0,top
D43,299.7835,-128.4605,24.0,top
D44,307.6415,-145.8595,24.0,top
D45,305.562,-94.5515,24.0,top
D46,313.3725,-112.053846,24.0,top
D47,321.183,-129.4765,24.0,top
D48,328.8665,-146.8755,24.0,top
SW2,83.673,-115.5955,-24.0,top
SW3,75.923,-132.9955,-24.0,top
SW4,68.173,-150.3955,-24.0,top
SW5,112.698,-97.2205,-24.0,top
SW6,104.948,-114.6205,-24.0,top
SW7,97.198,-132.0205,-24.0,top
SW8,89.448,-149.4455,-24.0,top
SW9,132.048,-100.6205,-24.0,top
SW10,124.298,-118.0205,-24.0,top
SW11,116.548,-135.4205,-24.0,top
SW12,108.798,-152.8455,-24.0,top
SW13,151.398,-104.0205,-24.0,top
SW14,143.623,-121.4455,-24.0,top
SW15,135.873,-138.8378,-24.0,top
SW17,166.848,-116.1205,-24.0,top
SW18,159.098,-133.5205,-24.0,top
SW19,151.348,-150.9455,-24.0,top
U1,207.645,-120.523,180.0,top
D1,94.3356,-94.5769,156.0,top
SW1,91.423,-98.1955,-24.0,top
SW20,132.698,-174.0955,66.0,top
SW21,182.298,-128.2205,-24.0,top
SW22,174.548,-145.6455,-24.0,top
SW23,166.798,-163.0378,-24.0,top
SW24,147.198,-188.3705,66.0,top
SW25,222.3915,-126.153846,24.0,top
SW26,230.1415,-143.553846,24.0,top
SW27,237.8915,-160.953846,24.0,top
SW28,254.9415,-192.978846,-66.0,top
SW29,237.8665,-114.053846,24.0,top
SW30,245.6415,-131.453846,24.0,top
SW31,253.3665,-148.853846,24.0,top
SW32,269.4415,-178.703846,-66.0,top
SW33,253.3165,-101.953846,24.0,top
SW34,261.0665,-119.353846,24.0,top
SW35,268.8165,-136.753846,24.0,top
SW37,272.6815,-98.573846,24.0,top
SW38,280.4065,-115.948846,24.0,top
SW39,288.1565,-133.348846,24.0,top
SW40,295.9065,-150.748846,24.0,top
SW41,292.0065,-95.148846,24.0,top
SW42,299.7665,-112.553846,24.0,top
SW43,307.4915,-129.978846,24.0,top
SW44,315.2415,-147.353846,24.0,top
SW45,313.2915,-96.103846,24.0,top
SW46,321.0415,-113.503846,24.0,top
SW47,328.7915,-130.928846,24.0,top
SW48,336.5165,-148.303846,24.0,top
SW16,119.148,-157.6205,66.0,top
SW36,282.9415,-162.253846,-66.0,top
D11,119.507,-131.826,156.0,top
SW49,203.2,-128.016,180.0,top
